日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,MA5,MA10,MA20,MA60,EMA12,EMA26,MACD,Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower
2024-01-02,600519,1608.68,1578.69,1611.87,1571.78,32156,5440082548.0,2.48,-2.53,-40.99,0.26,,,,,1578.69,1578.69,0.0,0.0,0.0,,,,
2024-01-03,600519,1574.79,1587.68,1588.9,1570.01,20229,3411400667.0,1.2,0.57,8.99,0.16,,,,,1580.0730769230768,1579.355925925926,0.7171509971508385,0.14343019943016772,0.5737207977206709,,,,
2024-01-04,600519,1586.68,1562.68,1586.68,1556.61,21551,3603970147.0,1.89,-1.57,-25.0,0.17,,,,,1577.397218934911,1578.120672153635,-0.7234532187239893,-0.02994648420066369,-0.6935067345233256,,,,
2024-01-05,600519,1555.01,1557.04,1572.34,1545.79,20243,3373155627.0,1.7,-0.36,-5.64,0.16,,,,,1574.2653390987707,1576.5591408829953,-2.29380178422457,-0.48271754420544494,-1.811084240019125,,,,
2024-01-08,600519,1554.68,1537.67,1555.68,1533.69,25586,4211918629.0,1.41,-1.24,-19.37,0.2,1564.752,,,,1568.6352869297289,1573.6784637805513,-5.0431768508224195,-1.3948094055288398,-3.6483674452935797,,,,
2024-01-09,600519,1534.69,1534.68,1546.0,1528.75,24412,4009826496.0,1.12,-0.19,-2.99,0.19,1555.95,,,,1563.4113966328475,1570.7896886856956,-7.37829205284811,-2.5915059349926937,-4.786786117855416,,,,
2024-01-10,600519,1534.78,1535.18,1553.14,1531.68,17351,2856120718.0,1.4,0.03,0.5,0.14,1545.45,,,,1559.0681048431788,1568.1519339682368,-9.083829125057946,-3.889970573005744,-5.193858552052202,,,,
2024-01-11,600519,1533.78,1540.25,1551.62,1531.74,16441,2708764500.0,1.29,0.33,5.07,0.13,1540.964,,,,1556.1730117903821,1566.0851240446636,-9.91211225428151,-5.094398909260898,-4.817713345020612,,,,
2024-01-12,600519,1533.65,1536.74,1544.94,1533.08,11603,1908084612.0,0.77,-0.23,-3.51,0.09,1536.904,,,,1553.183317668785,1563.9114111524664,-10.728093483681278,-6.221137824144973,-4.506955659536304,,,,
2024-01-15,600519,1528.68,1533.68,1548.65,1528.13,17854,2931202343.0,1.34,-0.2,-3.06,0.14,1536.1060000000002,1550.429,,,1550.1828072582027,1561.6720473633948,-11.489240105192039,-7.274758280354387,-4.214481824837652,,,,
2024-01-16,600519,1532.18,1533.11,1540.68,1518.62,25903,4236042960.0,1.44,-0.04,-0.57,0.21,1535.792,1545.8709999999999,,,1547.5562215261716,1559.5563401512914,-12.00011862511974,-8.219830349307458,-3.780288275812282,,,,
2024-01-17,600519,1523.68,1470.68,1529.16,1470.68,51633,8251735591.0,3.81,-4.07,-62.43,0.41,1522.8920000000003,1534.1709999999998,,,1535.7291105221452,1552.972907547492,-17.243797025346794,-10.024623684515324,-7.219173340831469,,,,
2024-01-18,600519,1467.68,1504.55,1506.48,1449.23,60440,9566349514.0,3.89,2.3,33.87,0.48,1515.752,1528.358,,,1530.932324287969,1549.3860255069371,-18.453701218968035,-11.710439191405868,-6.743262027562167,,,,
2024-01-19,600519,1502.55,1528.68,1531.69,1494.56,46378,7550144389.0,2.47,1.6,24.13,0.37,1514.1399999999999,1525.5220000000002,,,1530.5858128590507,1547.8522458397565,-17.26643298070576,-12.821637949265845,-4.444795031439913,37.18546609952339,,,
2024-01-22,600519,1522.68,1535.68,1536.68,1512.56,46946,7678297836.0,1.58,0.46,7.0,0.37,1514.5400000000002,1525.3229999999999,,,1531.3695339576584,1546.9505979997743,-15.58106404211594,-13.373523167835867,-2.207540874280074,39.360807401177446,,,
2024-01-23,600519,1525.69,1512.68,1533.63,1502.68,34835,5659457115.0,2.02,-1.5,-23.0,0.28,1510.4540000000002,1523.123,,,1528.4942210410957,1544.412035184976,-15.917814143880378,-13.88238136304477,-2.035432780835608,32.65013417229572,,,
2024-01-24,600519,1522.68,1519.68,1527.52,1497.24,33216,5373603703.0,2.0,0.46,7.0,0.26,1520.254,1521.5729999999999,,,1527.1381870347732,1542.5800325786815,-15.441845543908357,-14.194274199217489,-1.2475713446908685,39.14908650449176,,,
2024-01-25,600519,1520.5,1531.68,1534.68,1515.68,31206,5094508165.0,1.25,0.79,12.0,0.25,1525.68,1520.716,,,1527.836927490962,1541.7726227580383,-13.935695267076426,-14.142558412789278,0.2068631457128518,43.79951100244501,,,
2024-01-26,600519,1524.04,1531.0,1537.78,1516.68,26955,4402111882.0,1.38,-0.04,-0.68,0.21,1526.144,1520.142,,,1528.3235540308137,1540.9746507018874,-12.651096671073674,-13.844266064446158,1.193169393372484,48.20515580431622,,,
2024-01-29,600519,1533.98,1543.68,1554.26,1533.97,31421,5189014946.0,1.33,0.83,12.68,0.25,1527.7440000000001,1521.142,1535.7855,,1530.6860841799194,1541.175046946192,-10.488962766272607,-13.173205404811448,2.6842426385388407,52.30179028132992,1535.7855,1585.8521711180413,1485.7188288819586
